conference_title,video_platform,video_id,talk_title,speakers
Erlang Factory Lite Moscow 2012,,OEoAw-gB5uI,Why Linux distributions are so disconnected from the reality? Are they really?,Peter Lemenkov
Erlang Factory Lite Moscow 2012,,XvSmVrTYg9A,Erlang Use Cases,Michal Slaski
Erlang Factory Lite Moscow 2012,,_ISXGnSKCP8,Erlang-Based Sensor Network Management for Heterogenous Devices,Michał Nieć
Erlang Factory Lite Moscow 2012,,5HHxWWiRe6o,Code generation to fight with complexity,Max Lapshin
Erlang Factory Lite Moscow 2012,,Y5hKFVZn094,Scalable ejabberd,Konstantin Tcepliaev
Erlang Factory Lite Moscow 2012,,g4JR2JwGYmA,Random choice,Bob Ippolito
Erlang Factory Lite Moscow 2012,,YzcC_dLiiDM,Lightning Talk - Asynchronous PostgreSQL driver for Erlang,Anton Lebedevich
Erlang Factory Lite Moscow 2012,,jQxw_6nPEmw,Erlang Use Cases,Michal Slaski
Erlang Factory Lite Moscow 2012,,mSKWNdjO9MQ,Scalable ejabberd,Konstantin Tcepliaev
Erlang Factory Lite Moscow 2012,,CECh5bg_r3g,Erlang/OTP applications (...),Alex Gunin
Erlang User Conference 2012,,sNLeeakZppU,Just-in-time in No Time? Use the Source!,Frej Drejhammar
Erlang User Conference 2012,,NQ8Go5UgaAg,Ruby & Erlang - at Scale with Style,Martin Rehfeld
Erlang User Conference 2012,,F2dj3trqKTo,ErLLVM,Kostis Sagonas
Erlang User Conference 2012,,xBcgrIOzGbQ,Mnesia Backend Plugin Framework and a LevelDB-based Plugin,"Roland Karlsson, Malcolm Matalka"
Erlang User Conference 2012,,7hyQzH7x0Q4,Using Software Refactoring to Form Parallel Programs(...),"Chris Brown, Kevin Hammond"
Erlang User Conference 2012,,Z1v7NcT8GGw,Alternatives in Error Handling,Dmitry Groshev
Erlang User Conference 2012,,qJL-9LKQoq4,Combinatorrent - a Haskell Case Study,Jesper Louis Andersen
Erlang User Conference 2012,,yFAaWtV06tU,(first '(Clojure.)),Niklas Lindström
Erlang User Conference 2012,,5vf6ooBt7O8,Sweden's Next Top NoSQL Data Model,Ian Plosker
Erlang User Conference 2012,,dbiRSua8L-Y,Latest News from the Erlang OTP Group,Kenneth Lundin
Erlang User Conference 2012,,FRoY3HPOFNw,The Ideal Programmer - Why They Don't Exist and How to Manage Without Them?, Mike Williams
Erlang User Conference 2012,,DoX8KgYxqrE,Innovation - What Every Developer Absolutely Needs to Know,Steve Vinoski
Erlang User Conference 2012,,z4Av8amtI8U,Erlang metaprogramming made easy,Richard Carlsson
Erlang User Conference 2012,,RwIDJGYobRY,Erlang Embedded - Concurrent Blinkenlights and More!,Omer Kilic
